2009,1-1,3.1., 8  9  10  19  20  21  31  ,+, 22  34  38 
2009,2-1,10.1., 11  12  14  18  24  25  34  ,+, 6  16  28 
2009,3-1,17.1., 9  16  18  28  30  32  34  ,+, 3  26  35 
2009,4-1,24.1., 1  7  11  22  27  28  34  ,+, 9  14  25 
2009,5-1,31.1., 5  17  24  25  32  33  34  ,+, 8  13  37 
2009,6-1,7.2., 1  2  6  7  27  32  36  ,+, 8  19  21 
2009,7-1,14.2., 9  11  12  13  15  19  35  ,+, 5  23  31 
2009,8-1,21.2., 1  7  19  26  27  33  36  ,+, 9  29  38 
2009,9-1,28.2., 3  12  18  20  26  31  39  ,+, 15  17  27 
2009,10-1,7.3., 19  20  24  32  33  35  38  ,+, 1  10  28 
2009,11-1,14.3., 6  14  17  27  31  36  39  ,+, 7  15  22 
2009,12-1,21.3., 2  5  8  14  16  31  36  ,+, 21  33  34 
2009,13-1,28.3., 1  4  11  20  25  28  30  ,+, 10  31  38 
2009,14-1,4.4., 4  9  12  17  27  28  30  ,+, 1  14  33 
2009,15-1,11.4., 3  4  15  17  31  33  39  ,+, 2  10  38 
2009,16-1,18.4., 3  7  20  24  26  33  38  ,+, 10  22  30 
2009,17-1,25.4., 2  3  9  21  24  27  29  ,+, 1  17  28 
2009,18-1,2.5., 2  5  6  21  37  38  39  ,+, 12  18  24 
2009,19-1,9.5., 5  16  25  26  27  30  32  ,+, 7  14  38 
2009,20-1,16.5., 10  22  24  26  27  30  32  ,+, 1  8  38 
2009,21-1,23.5., 16  19  27  29  30  38  39  ,+, 18  21  23 
2009,22-1,30.5., 6  7  9  18  19  24  27  ,+, 14  31  35 
2009,23-1,6.6., 3  14  15  20  34  35  37  ,+, 4  25  29 
2009,24-1,13.6., 6  7  11  18  24  31  38  ,+, 19  27  30 
2009,25-1,21.6., 2  13  17  26  28  33  39  ,+, 19  21  27 
2009,26-1,27.6., 5  11  16  18  26  27  32  ,+, 7  23  30 
2009,27-1,4.7., 1  8  10  13  23  25  29  ,+, 6  14  33 
2009,28-1,11.7., 4  8  10  11  26  30  33  ,+, 1  3  38 
2009,29-1,18.7., 4  7  9  17  21  24  35  ,+, 16  19  36 
2009,30-1,25.7., 10  19  23  25  27  28  36  ,+, 13  14  39 
2009,31-1,1.8., 4  12  21  23  26  27  34  ,+, 15  30  32 
2009,32-1,8.8., 1  5  14  16  24  27  38  ,+, 9  15  23 
2009,33-1,15.8., 4  25  32  33  34  36  38  ,+, 29  30  37 
2009,34-1,22.8., 17  19  28  30  33  34  36  ,+, 11  20  27 
2009,35-1,29.8., 3  7  14  18  31  33  38  ,+, 16  20  27 
2009,36-1,5.9., 1  5  18  21  26  29  36  ,+, 3  34  35 
2009,37-1,12.9., 1  9  15  16  25  34  38  ,+, 4  6  39 
